iter	Passed	Remaining
975	6733	165
976	6739	158
977	6746	151
978	6752	144
979	6759	137
980	6767	131
981	6774	124
982	6782	117
983	6791	110
984	6800	103
985	6805	96
986	6812	89
987	6819	82
988	6827	75
989	6833	69
990	6840	62
991	6847	55
992	6854	48
993	6860	41
994	6865	34
995	6872	27
996	6879	20
997	6885	13
998	6891	6
999	6897	0
